address,date,price,rating,restaurant,text
"8530 SW 124th Ave, Miami, FL 33183",4/2/2016,$$,5,MyRoots Juice Bar & Kitchen,"Everything is fresh and delicious, from the food to the smoothies and smoothie bowls. The owner is very sweet and attentive. The location is cute and nicely decorated. I heard the owner used to have a cupcake shop. I wonder if she'll ever open a vegan bakery now that this business is thriving."
"3133 Grand Ave, Miami, FL 33133",6/6/2012,$,4,The Last Carrot,"I went to The Last Carrot for lunch today and it was absolutely delicious! I had the felafel pita sandwhich. The pita bread was very thin, so it's kind of a messy sandwhich and I would recommend that you either ask for a fork or keep it wrapped up as you eat it. The sandwhich comes with a green sauce, I have no idea what's in this sauce but it is so good. The place is your typical hipster kind of vegan hole-in-the-wall place in coconut grove so you cannot expect it to be so pristine. Everything is natural and made right in front of you so if you don't like what you see you can walk right out. I only gave it 4 stars because of the cleanliness, but the fact that they were preparing my lunch right in front of me was a huge plus! Everyone was very nice it took a few minutes for the girl to acknowledge us, but nothing I would complain about, the bar was almost completely full and she was only one of 2 servers/cooks so it's understandable. I would recommend this place if you want to have a quick, healthy lunch with a home-made feel. I didn't try the juices but they looked amazing and I will be going back to try one."
"3133 Grand Ave, Miami, FL 33133",11/4/2009,$,5,The Last Carrot,"The Last Carrot isn't much to look at, but from the second I walked in the door I knew that I had made it to a little slice of vegan heaven. Instead of trying to decide between Chinese take out classics like Buddha's Delight and Bean Curd & Eggplant or pizza (no cheese) plus a meager list of toppings from the local pizzeria, I had a full menu to choose from including vegan desserts! It had only been a week since I dined at an ultra vegan-friendly restaurant but it seemed like an eternity and I took my time looking over the menu. Would I try the Spicy Tofu Pita Sandwich? Maybe the Hummus Pita? Homemade Veggieburgers are always a safe choice. Or did I want to go for one of their ginormous (yes that's a word, because I say so!) salads. Maybe some hearty soup and a salad. Then there was the prospect of having a smoothie made from real fruit, not concentrated fruit juice or syrups. As I tried to make my decision I looked down to see a huge vegan cake beckoning me to come closer and a full case of vegan cookies and brownies. What's a little Vegan Guinea Pig to do with such choices put in front of her?,For the rest of the review and menu items click here "
"1915 Ponce De Leon Blvd, Coral Gables, FL 33134",3/14/2017,$$,4,Ms Cheezious,"Yesterday I had the crab grilled cheese with vegan cheese, so good! They have tons of different flavored sauces and condiments to choose from too. This place is great for lunch."
"1915 Ponce De Leon Blvd, Coral Gables, FL 33134",4/22/2016,$$,5,Ms Cheezious,"We loved the truck. Got stoked when they opened up a restaurant. Now, we rejoice a restaurant has opened up closer to us. Tricky to find, as they tend to leave the door open (source for the only sign). Look for the pin-up lady cartoon and pure golden. I appreciated that they were able to split the bill, at the counter. Same great food. Awesome service. Quick table turn around/venue kept super-clean. And the bathrooms... You vocals love in there. Wait staff truly cares for your best dining experience. We had the buffalo sandwich (had a nice kick) and the chicken and waffles (gravy tastes homemade). They do have a vegan option. Board games and Condiments off to the side. The midnight snack, a shake with whip cream, chocolate sprinkles, chocolate covered pretzel, chocolate covered Ruffle chip, and caramel corn, was heaven. No doubt, we will be back!"
"1915 Ponce De Leon Blvd, Coral Gables, FL 33134",7/7/2017,$$,5,Ms Cheezious,"HOW can you not give this place 5 stars!? My friends and I had such a great experience. We went for lunch right at noon and the place wasn't busy yet. We got a chance to take in the menu and put in our orders! I went with the crab with avocado and vegan cheese which was SO GOOD! Wow, I mean you can't really mess up a grilled cheese but this spot gives you all the options to make it the best. They have so many different sauces and even offer tomato soup!,My friends got the short rib and other savory meat grilled cheeses which they GUSHED over. Also the mac n cheese was so decadent and rich - definitely one to share! The oreo milk shake was also extremely tasty. Just in awe after lunch here!!"
"11361 NW 12th St, Miami, FL 33172",4/1/2016,$$,5,P.F. Chang’s,"This is the best chain restaurant for a vegan to go! They are so accommodating and have many vegan options compared to other ones. I had the vegetarian lettuce wraps and the ma po tofu and they were so good that my omni family kept eating it!! Everyone loved it even grandma who didn't even know what tofu was. The service is very good every time we go, they are always nice and attentive of our needs and we never have to ask for things like refills. Definitely my favorite pf changs location in Miami. And I've been to pretty much all of them. The staff is also consistent, I've been waited on by the same girl for over two years now and she always recognizes us and asks about anyone who may not have gone to the restaurant that specific day. Hoping to go back soon so I can try the Buddhas feast because I've been scared to try it but not for long. The only thing I would ask for is a vegan dessert because it's kinda horrible watching everyone eating desserts and not being able to have one yourself."
"11361 NW 12th St, Miami, FL 33172",2/9/2018,$$,4,P.F. Chang’s,"I've always been a sucker for mall chain restaurants... There are plenty of options for vegetarians and vegans here. The veggie spring rolls come with chili plum sauce, you can get 2 or 4. There's edamame, salads, and side noodles. There's a vegetarian entree section- I like Buddha's feast (broccoli, carrot, peas, asparagus, mushrooms, tofu with brown sauce) with brown rice. Ask your server about what's in each sauce to be sure. The fried rice he egg in it- you can order without. They also have a nice wine selection. The bathroom was not very clean."
"143 NE 3rd Ave, Miami, FL 33132",1/27/2014,$$,5,Ten Fruits,"I randomly (and happily) stumbled upon Ten Fruits last week on a walk to Bayfront Park. The decor is clean, white, and minimal with facts about healthy foods written all over the walls in a cool newspaper style.  All juices are made from fresh fruits and vegetables with a slow pressed juicer; I learned that this is to retain all of the nutrients that are otherwise lost from the heat and friction of a fast juicer. Juices come in large portions (16 oz) and are bottled with a lid. Ten Fruits also offer salads, Acai power bowls, empanadas, waffles, and quiches, many of which are vegan-friendly. I'm super excited to have found a healthy and delicious place to get my daily serving of fruits and vegetables within walking distance of where I live. I will most definitely be becoming a regular here.,I also hear that Ten Fruits is opening a location in Coral Gables soon!"
"143 NE 3rd Ave, Miami, FL 33132",1/3/2014,$$,5,Ten Fruits,"So I was at Ten Fruits, dropping a deuce in the men's bathroom, when I noticed that the wallpaper surrounding me were these Wikipedia pages of some the most underrated antioxidants known to man (You know, because Yuppies jusy need to be educated). Anyway, I knew about Acai, I just didn't really how to say it -- now I do. With that said, I was very impressed by my Acai bowl, it was even designed like something out of one of those glossy, colorful Vegan recipe books.,But Ten Fruits is cute; something that Miami is looking to transition into, I think. It's always difficult when you're that one organic/health food place surrounded by a bunch of Cuban sandwiches. This place was legit, though, in all honesty."
